Age Group,Federal State,Ground Population
0-29,Thüringen,550000
30-59,Thüringen,812000
60-199,Thüringen,732000
0-29,Schleswig-Holstein,860000
30-59,Schleswig-Holstein,1161000
60-199,Schleswig-Holstein,890000
0-29,Sachsen-Anhalt,554000
30-59,Sachsen-Anhalt,833000
60-199,Sachsen-Anhalt,764000
0-29,Sachsen,1109000
30-59,Sachsen,1579000
60-199,Sachsen,1344000
0-29,Saarland,277000
30-59,Saarland,390000
60-199,Saarland,322000
0-29,Rheinland-Pfalz,1247000
30-59,Rheinland-Pfalz,1385000
60-199,Rheinland-Pfalz,1223000
0-29,Nordrhein-Westfalen,5610000
30-59,Nordrhein-Westfalen,7257000
60-199,Nordrhein-Westfalen,5133000
0-29,Niedersachsen,2487000
30-59,Niedersachsen,3223000
60-199,Niedersachsen,2369000
0-29,Mecklenburg-Vorpommern,416000
30-59,Mecklenburg-Vorpommern,630000
60-199,Mecklenburg-Vorpommern,568000
